name,address,location
Covenant House New Jersey,"330 Washington St, Newark","{'lat': 40.7335062, 'lng': -74.17646599999999}"
Covenant House New York,"460 W 41st St, New York","{'lat': 40.7585922, 'lng': -73.9955514}"
WIN - Liberty Family Residence,"51 Junius St, Brooklyn","{'lat': 40.6737039, 'lng': -73.9037006}"
The Hoboken Shelter,"300 Bloomfield St, Hoboken","{'lat': 40.7402658, 'lng': -74.0312033}"
Project Renewal Third Street Men's Shelter,"8 E 3rd St #8908, New York","{'lat': 40.7258567, 'lng': -73.9910376}"
Cooper Rapid Rehousing Center,"78-16 Cooper Ave, Glendale","{'lat': 40.7073685, 'lng': -73.8728718}"
The Kensington Family Shelter,"385 McDonald Ave, Brooklyn","{'lat': 40.6445515, 'lng': -73.9793486}"
Open Doors,"4 Merritt St, Norwalk","{'lat': 41.091982, 'lng': -73.419708}"
Family Shelters Bronx,"151 E 151st St, Bronx","{'lat': 40.8220329, 'lng': -73.93046559999999}"
HELP Bronx Crotona Park North,"785 Crotona Park N, Bronx","{'lat': 40.84064619999999, 'lng': -73.89116039999999}"
St Anthony Shelter for Renewal,"410 E 156th St, Bronx","{'lat': 40.8206301, 'lng': -73.91511919999999}"
Mainchance Drop-In Center,"120 E 32nd St, New York","{'lat': 40.7452478, 'lng': -73.98144169999999}"
The Landing Family Shelter,"94-00 Ditmars Blvd, East Elmhurst","{'lat': 40.769746, 'lng': -73.8757783}"
FRANKLIN WILLIAMS WOMEN'S SHELTER,"1122 Franklin Ave, Bronx","{'lat': 40.8281285, 'lng': -73.9058159}"
Ozanam Homeless Shelter,"08854, 89 Truman Dr, Edison","{'lat': 40.52372099999999, 'lng': -74.4247235}"
HOMELESS SHELTER,"120 S River St, Hackensack","{'lat': 40.8751329, 'lng': -74.04012929999999}"
Win Shelter,"4612 Glenwood Rd, Brooklyn","{'lat': 40.6339557, 'lng': -73.93166169999999}"
