name,datetime,temp,humidity,windspeed,Air pressure,Fire? Y/N
Los Angeles,1/6/2025,15.1,50.9,16,0.65536,0
Los Angeles,1/7/2025,16.5,47.1,46.4,5.5115776,1
Los Angeles,1/8/2025,17.6,19.9,21.6,1.1943936,1
Los Angeles,1/9/2025,13.6,32.1,12,0.36864,0
Los Angeles,1/10/2025,14.3,34.8,14,0.50176,0
Los Angeles,1/11/2025,13.4,46.4,13.4,0.4596736,0
Los Angeles,1/12/2025,13.5,36.2,18.8,0.9048064,0
Los Angeles,1/13/2025,12.8,28.7,15.2,0.5914624,0
Los Angeles,1/14/2025,12.1,29.9,14.4,0.5308416,0
Los Angeles,1/15/2025,13.6,31.2,15,0.576,0
Los Angeles,1/16/2025,13.1,41.4,21.9,1.2278016,0
Los Angeles,1/17/2025,11.9,69.3,14,0.50176,0
Los Angeles,1/18/2025,12.1,72.5,16.8,0.7225344,0
Los Angeles,1/19/2025,11.2,76.1,16.5,0.69696,0
Los Angeles,1/20/2025,14.8,42.4,26.7,1.8249984,0
Los Angeles,1/21/2025,13.8,21.6,13.2,0.4460544,0
Los Angeles,1/22/2025,16.6,17.3,8.7,0.1937664,1
Los Angeles,1/23/2025,17.5,20,16,0.65536,1
Los Angeles,1/24/2025,15.5,20.8,15.7,0.6310144,0
Los Angeles,1/25/2025,12,57.8,19.5,0.97344,0
Los Angeles,1/26/2025,10.9,81.2,18.8,0.9048064,0
Los Angeles,1/27/2025,11.2,72.4,19.3,0.9535744,0
Los Angeles,1/28/2025,11,71,15.4,0.6071296,0
Los Angeles,1/29/2025,11.8,73.3,18.1,0.8386816,0
Los Angeles,1/30/2025,11.7,72.5,14,0.50176,0
Los Angeles,1/31/2025,11.5,71.8,18.9,0.9144576,0
Los Angeles,2/1/2025,13.7,73.5,18.4,0.8667136,0
Los Angeles,2/2/2025,14.6,82.5,14.8,0.5607424,0
Los Angeles,2/3/2025,13.2,65.2,16.5,0.69696,0
Los Angeles,2/4/2025,13.9,61.4,16.8,0.7225344,0
Los Angeles,2/4/2025,13.9,61.4,16.8,0.7225344,0
Los Angeles,2/5/2025,13.7,92.3,17.5,0.784,0
Los Angeles,2/6/2025,14.6,92.1,19,0.92416,0
Los Angeles,2/7/2025,14.4,85.5,18.9,0.9144576,0
Los Angeles,2/8/2025,12.6,76.1,13.6,0.4734976,0
Los Angeles,2/9/2025,13.6,60.7,17.1,0.7485696,0
Los Angeles,2/10/2025,12.3,71.2,15.2,0.5914624,0
Los Angeles,2/11/2025,12.6,63.8,25,1.6,0
Los Angeles,2/12/2025,11.3,86.1,19.4,0.9634816,0
Los Angeles,2/13/2025,13.5,93.4,22,1.23904,0
Los Angeles,2/14/2025,14,76.4,33.4,2.8558336,0
Los Angeles,2/15/2025,13.6,65.8,17.8,0.8111104,0
Los Angeles,2/16/2025,14.9,55.1,14.2,0.5161984,0
Los Angeles,2/17/2025,13.8,73.1,16.6,0.7054336,0
Los Angeles,2/18/2025,13.9,75.4,18.1,0.8386816,0
